region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
AZ,AZ_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,1.2167357114248483e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.765284130519545e7,0.0,0.0,0.0,389274.78328199004,0.0,0.0,0.0,8.765284130519545e7,1.2167357114248483e8,-3.402072983728938e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,2.1396738045492917e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8569515445270127e8,0.0,0.0,0.0,9.618115683649816e6,0.0,0.0,0.0,1.8569515445270127e8,2.1396738045492917e8,-2.8272226002227902e7
CA_S,CA_S_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,5.264121191304337e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8248188501767788e7,0.0,0.0,0.0,995100.9797240073,0.0,0.0,0.0,2.8248188501767788e7,5.264121191304337e7,-2.4393023411275584e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,2.3923919430985802e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6130768382080635e8,0.0,0.0,0.0,761145.8201461062,0.0,0.0,0.0,1.6130768382080635e8,2.3923919430985802e8,-7.793151048905167e7
PNW,PNW_conventional_hydroelectric_1,6,1,5,0.0,0.0,0.0,1.2939582775574381e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3446301098879309e9,0.0,0.0,0.0,6.112794583472589e6,0.0,0.0,0.0,1.3446301098879309e9,1.2939582775574381e9,5.0671832330492735e7
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,6,0.0,0.0,0.0,2.841866724201017e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.132450781652422e7,0.0,0.0,0.0,1.6941920948990118e7,0.0,0.0,0.0,5.132450781652422e7,2.841866724201017e7,2.2905840574514054e7
AZ,AZ_conventional_steam_coal_1,1,1,7,0.0,0.0,0.0,1.1183598142785356e9,0.0,0.0,2.9577207818529412e7,5.91327892915577e8,0.0,0.0,0.0,0.0,7.400389407730013e8,0.0,0.0,0.0,2.0036968590869498e8,0.0,0.0,0.0,7.400389407730013e8,1.739264915012642e9,-9.992259742396406e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0,8.601289296780136e8,0.0,0.0,3.2948093847753778e7,4.5113819369581807e8,0.0,2.8671903748816907e7,0.0,0.0,2.886113285277979e8,0.0,0.0,0.0,5.210722061437173e8,0.0,0.0,0.0,2.886113285277979e8,1.3728871209704022e9,-1.0842757924426043e9
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,0.0,1.180099639997125e8,0.0,0.0,1.5742940919137385e-10,2.0111074139350648e-9,0.0,1.9451276568274594e-11,0.0,0.0,6.658630922654193e-10,0.0,0.0,0.0,1.1795377473110536e8,0.0,0.0,0.0,6.658630922654193e-10,1.180099639997125e8,-1.180099639997125e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,10,0.0,0.0,0.0,1.0541994832711688e8,0.0,0.0,-5.024958227295428e-13,-9.743780537974093e-11,0.0,0.0,0.0,0.0,-3.2702241497019066e-11,0.0,0.0,0.0,4.4514848426153325e7,-0.0,0.0,0.0,-3.2702241497019066e-11,1.0541994832711688e8,-1.0541994832711688e8
AZ,AZ_nuclear_1,1,1,11,0.0,0.0,0.0,1.2355678209959517e9,0.0,0.0,1.2854073600000043e6,1.2605025923999743e8,0.0,0.0,0.0,0.0,3.6193055767804116e8,0.0,0.0,0.0,9.697046910124756e7,0.0,0.0,0.0,3.6193055767804116e8,1.362903487595949e9,-1.0009729299179077e9
AZ,AZ_other_peaker_1,1,1,12,0.0,0.0,0.0,7.232684428177545e6,0.0,0.0,1.3193584891268983e-10,3.6968115182389746e-9,0.0,-6.678939306376768e-9,0.0,0.0,1.4211757991364645e-9,0.0,0.0,0.0,9.621974362897754e6,0.0,0.0,0.0,1.4211757991364645e-9,7.232684428177542e6,-7.23268442817754e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,13,0.0,0.0,0.0,8.304885861899866e8,0.0,0.0,1.943122902260478e6,2.1147588160319108e8,0.0,9.330093451411564e6,0.0,0.0,1.256908372093975e8,0.0,0.0,0.0,3.445446641220783e8,0.0,0.0,0.0,1.256908372093975e8,1.0532376841468498e9,-9.275468469374523e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,14,0.0,0.0,0.0,1.3849020270018008e8,0.0,0.0,-2.1995479723305568e-10,-1.792148733719451e-8,0.0,1.7609056071489154e-8,0.0,0.0,-3.1706755554657323e-9,0.0,0.0,0.0,1.4808590456282413e8,-0.0,0.0,0.0,-3.1706755554657323e-9,1.3849020270018008e8,-1.3849020270018008e8
CA_N,CA_N_nuclear_1,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,16,0.0,0.0,0.0,2.2632797913306925e7,0.0,0.0,2.5335923835103e-13,4.3940599425695845e-11,0.0,7.470849335991913e-12,0.0,0.0,1.757606423779861e-11,0.0,0.0,0.0,1.8968487341507077e7,0.0,0.0,0.0,1.757606423779861e-11,2.2632797913306925e7,-2.2632797913306925e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,17,0.0,0.0,0.0,9.08853896306034e8,0.0,0.0,85694.6563393105,7.3217422724268e6,0.0,99385.70716185888,0.0,0.0,4.22529389246223e6,0.0,0.0,0.0,4.341430609337611e8,0.0,0.0,0.0,4.22529389246223e6,9.16360718941962e8,-9.121354250494998e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,18,0.0,0.0,0.0,1.921500723066462e8,0.0,0.0,6.756365048334197e-10,6.877035498324095e-8,0.0,-4.0633749436090963e-8,0.0,0.0,1.0134048698959644e-8,0.0,0.0,0.0,2.741155218760931e8,0.0,0.0,0.0,1.0134048698959644e-8,1.9215007230664623e8,-1.9215007230664623e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,0.0,7.764169713249359e7,0.0,0.0,86729.03117967308,3.963496488137153e7,0.0,22805.4747,0.0,0.0,2.4318944774857298e7,0.0,0.0,0.0,1.7840175541557148e7,0.0,0.0,0.0,2.4318944774857298e7,1.1738619651974478e8,-9.306725174488749e7
CA_S,CA_S_other_peaker_1,3,1,20,0.0,0.0,0.0,257334.89463201837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1283117999499345e6,0.0,0.0,0.0,0.0,257334.89463201837,-257334.89463201837
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,21,0.0,0.0,0.0,1.8641167530443778e9,0.0,0.0,3.6019324812540784e7,8.946047665041156e8,0.0,0.0,0.0,0.0,8.462677743197488e8,0.0,0.0,0.0,4.446598101183427e8,0.0,0.0,0.0,8.462677743197488e8,2.7947408443610344e9,-1.9484730700412855e9
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,3.232582417088994e8,0.0,0.0,51680.25402833237,1.4274174253967495e6,0.0,21785.780498498825,0.0,0.0,889707.0943964268,0.0,0.0,0.0,2.3513271738200188e8,0.0,0.0,0.0,889707.0943964268,3.2475912516882294e8,-3.2386941807442653e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,23,0.0,0.0,0.0,1.8051986070940155e8,0.0,0.0,-6.805948874192122e-10,-7.84886370655613e-9,0.0,-5.9399773474091305e-9,0.0,0.0,-2.7774475552332725e-9,0.0,0.0,0.0,1.9234393462784374e8,-0.0,0.0,0.0,-2.7774475552332725e-9,1.8051986070940155e8,-1.8051986070940155e8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,24,0.0,0.0,0.0,1.693667987519314e8,0.0,0.0,-1.0060473089522149e-11,-1.4205194531768939e-9,0.0,0.0,0.0,0.0,-3.5775489215317466e-10,0.0,0.0,0.0,7.096093854145873e7,-0.0,0.0,0.0,-3.5775489215317466e-10,1.693667987519314e8,-1.693667987519314e8
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,25,0.0,0.0,0.0,9.435319887434095e6,0.0,0.0,-2.4940728888067288e-9,-4.5868267764145585e-8,0.0,6.420327929518274e-8,0.0,0.0,-1.4332464283046483e-8,0.0,0.0,0.0,3.068563202161959e7,-0.0,0.0,0.0,-1.4332464283046483e-8,9.43531988743411e6,-9.435319887434125e6
NM,NM_conventional_steam_coal_1,5,1,26,0.0,0.0,0.0,1.3130701093150498e8,0.0,0.0,2.9189223758668555e6,3.6426446770598724e7,0.0,0.0,0.0,0.0,4.04326327171337e7,0.0,0.0,0.0,1.5943282060327932e7,0.0,0.0,0.0,4.04326327171337e7,1.7065238007797056e8,-1.3021974736083686e8
NM,NM_natural_gas_fired_combined_cycle_1,5,1,27,0.0,0.0,0.0,1.3166014835189134e8,0.0,0.0,355377.58427909925,6.756280057455896e6,0.0,1.393296007528592e6,0.0,0.0,4.787102407071263e6,0.0,0.0,0.0,6.846293783438222e7,0.0,0.0,0.0,4.787102407071263e6,1.4016510200115493e8,-1.3537799959408367e8
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,28,0.0,0.0,0.0,5.098106650464737e7,0.0,0.0,-4.361676734073886e-12,-3.8893176679266624e-11,0.0,0.0,0.0,0.0,-1.7214950605889855e-11,0.0,0.0,0.0,6.358677819125598e7,-0.0,0.0,0.0,-1.7214950605889855e-11,5.098106650464737e7,-5.098106650464737e7
NM,NM_natural_gas_steam_turbine_1,5,1,29,0.0,0.0,0.0,4.6712810570896514e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1853933739659406e7,0.0,0.0,0.0,0.0,4.6712810570896514e7,-4.6712810570896514e7
NM,NM_other_peaker_1,5,1,30,0.0,0.0,0.0,44173.04031782606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165644.48893847212,0.0,0.0,0.0,0.0,44173.04031782606,-44173.04031782606
PNW,PNW_conventional_steam_coal_1,6,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,32,0.0,0.0,0.0,5.575803739656656e8,0.0,0.0,5.785118489018069e6,1.9034621697206533e8,0.0,-2.0790708410751387e-10,0.0,0.0,1.7649270145239562e8,0.0,0.0,0.0,4.1217031124781877e8,0.0,0.0,0.0,1.7649270145239562e8,7.53711709426749e8,-5.772190079743533e8
