Region,Resource,Zone,Cluster,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,8.272095286298887e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,2.120010382517534e8
CA_S,CA_S_conventional_hydroelectric_1,3,1,3.192903564762229e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,1.2686258964491878e8
PNW,PNW_conventional_hydroelectric_1,6,1,1.2409622649622154e9
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,4.718329276116406e7
AZ,AZ_conventional_steam_coal_1,1,1,6.802223247332302e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,3.98781312801472e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0
AZ,AZ_nuclear_1,1,1,3.315733735610669e8
AZ,AZ_other_peaker_1,1,1,-3.173497512420306e-10
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,2.9794907221984273e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,-2.0604527673482715e-8
CA_N,CA_N_nuclear_1,2,1,0.0
CA_N,CA_N_other_peaker_1,2,1,1.0305412099353125e-9
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,1.0235582170967609e7
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,-6.918369343282769e-9
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,2.489106860842415e7
CA_S,CA_S_other_peaker_1,3,1,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,6.103436460017163e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,0.0
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,1.4055119650832538e-11
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,0.0
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,-6.012158759672492e-9
NM,NM_conventional_steam_coal_1,5,1,3.272086472834686e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,5.038051889285181e6
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,-3.2506036888637494e-12
NM,NM_natural_gas_steam_turbine_1,5,1,0.0
NM,NM_other_peaker_1,5,1,37.722355805354354
PNW,PNW_conventional_steam_coal_1,6,1,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,1.3187791538970827e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,1.3985100698984858e7
PNW,PNW_nuclear_1,6,1,1.8594745258745277e8
PNW,PNW_other_peaker_1,6,1,3.353313007378429e6
UT_NV,UT_NV_conventional_steam_coal_1,7,1,5.547388397965119e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,1.4805084911234757e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,36447.26661844134
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,-1.3533597637902674e-8
UT_NV,UT_NV_other_peaker_1,7,1,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,7.866189357623845e8
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,-3.402522259938074e-10
AZ,AZ_nuclear_nuclear__large_conservative_0,1,0,-1.7565085925924974e-7
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,-4.8548851337359776e-11
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,2,0,-1.077185787376307e-11
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,-2.116990908414915e-8
CA_N,CA_N_nuclear_nuclear__large_conservative_0,2,0,1.36114912902353e-7
