Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,CapRes_4,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,0.0,0.0,2.2022430077565648e6,0.0,2.2022430077565648e6
CA_N,CA_N_conventional_hydroelectric_1,2,1,9.785569950005103e6,0.0,0.0,0.0,9.785569950005103e6
CA_S,CA_S_conventional_hydroelectric_1,3,1,1.152094793025319e6,0.0,0.0,0.0,1.152094793025319e6
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,0.0,6.819289661247615e6,0.0,0.0,6.819289661247615e6
PNW,PNW_conventional_hydroelectric_1,6,1,0.0,4.870143702414645e7,0.0,0.0,4.870143702414645e7
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,0.0,1.627506821601466e7,0.0,0.0,1.627506821601466e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0,0.0,1.4722927617367393e8,0.0,1.4722927617367393e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,3.9385191013572836e8,0.0,3.9385191013572836e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,1.413711825464998e8,0.0,1.413711825464998e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0,0.0,3.2708984310879536e7,0.0,3.2708984310879536e7
AZ,AZ_nuclear_1,1,1,0.0,0.0,7.125275418410361e7,0.0,7.125275418410361e7
AZ,AZ_other_peaker_1,1,1,0.0,0.0,7.07011299831363e6,0.0,7.07011299831363e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,2.6262746185943985e8,0.0,0.0,0.0,2.6262746185943985e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,1.1287774649359773e8,0.0,0.0,0.0,1.1287774649359773e8
CA_N,CA_N_nuclear_1,2,1,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,1.4458635423963005e7,0.0,0.0,0.0,1.4458635423963005e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,3.309233955703439e8,0.0,0.0,0.0,3.309233955703439e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,2.0894319739366692e8,0.0,0.0,0.0,2.0894319739366692e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,1.359858534899823e7,0.0,0.0,0.0,1.359858534899823e7
CA_S,CA_S_other_peaker_1,3,1,860050.074964777,0.0,0.0,0.0,860050.074964777
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,0.0,4.3818644369616616e8,0.0,0.0,4.3818644369616616e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,0.0,2.3170965057267922e8,0.0,0.0,2.3170965057267922e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,0.0,1.895437877749096e8,0.0,0.0,1.895437877749096e8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,0.0,6.992788777683452e7,0.0,0.0,6.992788777683452e7
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,0.0,3.0238909976019945e7,0.0,0.0,3.0238909976019945e7
NM,NM_conventional_steam_coal_1,5,1,0.0,0.0,0.0,1.1717768199467897e7,1.1717768199467897e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,0.0,0.0,0.0,5.0317922794208564e7,5.0317922794208564e7
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,0.0,0.0,0.0,4.673411187086482e7,4.673411187086482e7
NM,NM_natural_gas_steam_turbine_1,5,1,0.0,0.0,0.0,8.712236745708277e6,8.712236745708277e6
NM,NM_other_peaker_1,5,1,0.0,0.0,0.0,121743.04622823792,121743.04622823792
PNW,PNW_conventional_steam_coal_1,6,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,0.0,4.061699276009595e8,0.0,0.0,4.061699276009595e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,0.0,8.445589661121798e7,0.0,0.0,8.445589661121798e7
PNW,PNW_nuclear_1,6,1,0.0,7.522149423470704e7,0.0,0.0,7.522149423470704e7
PNW,PNW_other_peaker_1,6,1,0.0,1.8083221072757117e7,0.0,0.0,1.8083221072757117e7
UT_NV,UT_NV_conventional_steam_coal_1,7,1,0.0,2.1267880859079686e8,0.0,0.0,2.1267880859079686e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,0.0,5.117087556110623e8,0.0,0.0,5.117087556110623e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,0.0,1.3327471172270906e8,0.0,0.0,1.3327471172270906e8
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,0.0,2.257951890364143e7,0.0,0.0,2.257951890364143e7
UT_NV,UT_NV_other_peaker_1,7,1,0.0,8.018833486184669e6,0.0,0.0,8.018833486184669e6
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_nuclear_nuclear__large_advanced_0,1,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_nuclear_nuclear__large_advanced_0,2,0,1.3746636936180703e7,0.0,0.0,0.0,1.3746636936180703e7
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_nuclear_nuclear__large_advanced_0,3,0,3.942753453234782e8,0.0,0.0,0.0,3.942753453234782e8
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,4,0,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,0.0,9.553322860996045e7,0.0,0.0,9.553322860996045e7
