region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
AZ,AZ_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,1.2167357114248483e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.842518229907218e7,0.0,0.0,0.0,2.636974158189018e6,0.0,0.0,0.0,9.842518229907218e7,1.2167357114248483e8,-2.3248388843412653e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,2.1396738045492917e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9534204529058158e8,0.0,0.0,0.0,9.805076347138867e6,0.0,0.0,0.0,1.9534204529058158e8,2.1396738045492917e8,-1.862533516434759e7
CA_S,CA_S_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,5.264121191304337e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8695003524801835e7,0.0,0.0,0.0,1.195068625961672e6,0.0,0.0,0.0,2.8695003524801835e7,5.264121191304337e7,-2.3946208388241537e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,2.3923919430985802e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2485487226130192e8,0.0,0.0,0.0,7.345137098065562e6,0.0,0.0,0.0,1.2485487226130192e8,2.3923919430985802e8,-1.143843220485561e8
PNW,PNW_conventional_hydroelectric_1,6,1,5,0.0,0.0,0.0,1.2939582775574381e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139004726399231e9,0.0,0.0,0.0,5.0784893865959786e7,0.0,0.0,0.0,1.139004726399231e9,1.2939582775574381e9,-1.5495355115820718e8
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,6,0.0,0.0,0.0,2.841866724201017e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4801466990274414e7,0.0,0.0,0.0,1.6248395841943571e7,0.0,0.0,0.0,4.4801466990274414e7,2.841866724201017e7,1.6382799748264246e7
AZ,AZ_conventional_steam_coal_1,1,1,7,0.0,0.0,0.0,1.1183598142785356e9,0.0,0.0,7.48275018958452e6,1.4960029120965576e8,0.0,0.0,0.0,0.0,2.7617590798345906e8,0.0,0.0,0.0,1.594522079402972e8,0.0,1.836374552455045e8,0.0,2.7617590798345906e8,1.4590803109232802e9,-1.1829044029398212e9
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0,8.847823344358833e8,0.0,0.0,5.725419018408427e7,7.839467758140326e8,0.0,8.651823234917493e7,0.0,0.0,6.78934429196904e8,0.0,0.0,0.0,4.2654938137823164e8,0.0,1.5675794351093283e8,0.0,6.78934429196904e8,1.969259476294108e9,-1.290325047097204e9
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,0.0,1.9248884451066905e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.531077770808257e8,0.0,0.0,0.0,0.0,1.9248884451066905e8,-1.9248884451066905e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,10,0.0,0.0,0.0,1.0541994832711688e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.542447469280482e7,0.0,0.0,0.0,0.0,1.0541994832711688e8,-1.0541994832711688e8
AZ,AZ_nuclear_1,1,1,11,0.0,0.0,0.0,1.2355678209959517e9,0.0,0.0,1.2392546955428617e6,1.2152441358166899e8,0.0,0.0,0.0,0.0,3.97648291627359e8,0.0,0.0,0.0,7.716813715147576e7,0.0,0.0,0.0,3.97648291627359e8,1.3583314892731636e9,-9.606831976458046e8
AZ,AZ_other_peaker_1,1,1,12,0.0,0.0,0.0,7.232684428177545e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.657071726948311e6,0.0,0.0,0.0,0.0,7.232684428177545e6,-7.232684428177545e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,13,0.0,0.0,0.0,8.304885861899866e8,0.0,0.0,6.761448068194978e6,7.358686316096238e8,0.0,1.2133809507671082e7,0.0,0.0,4.308393356133094e8,0.0,0.0,0.0,2.6368845502718878e8,0.0,0.0,0.0,4.308393356133094e8,1.5852524753754766e9,-1.1544131397621672e9
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,14,0.0,0.0,0.0,1.3849020270018008e8,0.0,0.0,-2.2526072435929175e-10,-1.835380391769702e-8,0.0,0.0,0.0,0.0,-7.668090153343814e-9,0.0,0.0,0.0,1.1333376322913891e8,-0.0,0.0,0.0,-7.668090153343814e-9,1.3849020270018005e8,-1.3849020270018005e8
CA_N,CA_N_nuclear_1,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,16,0.0,0.0,0.0,2.2632797913306925e7,0.0,0.0,7.735690944951367e-10,1.3416163519648052e-7,0.0,-6.859173546606283e-8,0.0,0.0,4.8103207522043426e-8,0.0,0.0,0.0,1.4517047112105535e7,0.0,0.0,0.0,4.8103207522043426e-8,2.2632797913306993e7,-2.2632797913306944e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,17,0.0,0.0,0.0,9.08853896306034e8,0.0,0.0,367261.13662751083,3.137875223418856e7,0.0,1.235245568356092e6,0.0,0.0,1.8563847678302407e7,0.0,0.0,0.0,3.3226029864690155e8,0.0,0.0,0.0,1.8563847678302407e7,9.418351552452061e8,-9.232713075669037e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,18,0.0,0.0,0.0,1.921500723066462e8,0.0,0.0,1.3760979657360751e-12,1.4006754359538077e-10,0.0,0.0,0.0,0.0,1.0135781608796574e-10,0.0,0.0,0.0,2.09787310584697e8,0.0,0.0,0.0,1.0135781608796574e-10,1.921500723066462e8,-1.921500723066462e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,0.0,7.764169713249359e7,0.0,0.0,91216.39505632526,4.168567970248597e7,0.0,91221.8988,0.0,0.0,2.7009267486065157e7,0.0,0.0,0.0,1.3653522506156838e7,0.0,0.0,0.0,2.7009267486065157e7,1.1950981512883587e8,-9.250054764277071e7
CA_S,CA_S_other_peaker_1,3,1,20,0.0,0.0,0.0,257334.89463201837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863524.6059486994,0.0,0.0,0.0,0.0,257334.89463201837,-257334.89463201837
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,21,0.0,0.0,0.0,1.8641167530443778e9,0.0,0.0,2.6572440174611196e7,6.599743821287844e8,0.0,0.0,0.0,0.0,5.550281390953279e8,0.0,0.0,0.0,4.372570478129432e8,0.0,0.0,0.0,5.550281390953279e8,2.5506635753477736e9,-1.9956354362524457e9
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,3.232582417088994e8,0.0,0.0,5698.996183698862,157407.2460135665,0.0,4524.307907193712,0.0,0.0,94352.61413484807,0.0,0.0,0.0,2.312181931156006e8,0.0,0.0,0.0,94352.61413484807,3.234258722590038e8,-3.2333151964486897e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,23,0.0,0.0,0.0,1.8051986070940155e8,0.0,0.0,-5.34112792089607e-13,-6.159579783115988e-12,0.0,0.0,0.0,0.0,-2.489066522204763e-12,0.0,0.0,0.0,1.8914176434725034e8,-0.0,0.0,0.0,-2.489066522204763e-12,1.8051986070940155e8,-1.8051986070940155e8
